challengeID,m1intmon,m1intyr,m1lenhr,f2lenhr
242,-3,NA,-3,-3
243,-3,NA,0,0
244,-3,NA,0,0
245,-3,NA,0,0
246,-3,NA,-3,-3
247,-3,NA,0,0
248,-3,NA,-3,-3
249,-3,NA,0,0
250,-3,NA,-3,-3
251,-3,NA,0,0
252,-3,NA,0,0
253,-3,NA,0,0
254,-3,NA,1,1
255,-3,NA,0,0
256,-3,NA,0,0
257,-3,NA,-3,-3
258,-3,NA,-3,-3
259,-3,NA,0,0
260,-3,NA,0,0
261,-3,NA,-3,-3
262,-3,NA,0,0
263,-3,NA,0,0
264,-3,NA,0,0
265,-3,NA,-3,-3
266,-3,NA,0,0
267,-3,NA,0,0
268,-3,NA,0,0
269,-3,NA,0,0
270,-3,NA,0,0
271,-3,NA,0,0
272,-3,NA,0,0
273,-3,NA,0,0
274,-3,NA,0,0
275,-3,NA,0,0
276,-3,NA,0,0
277,-3,NA,0,0
278,-3,NA,0,0
279,-3,NA,0,0
280,-3,NA,-3,-3
281,-3,NA,0,0
282,-3,NA,0,0
283,-3,NA,0,0
284,-3,NA,0,0
285,-3,NA,0,0
286,-3,NA,0,0
287,-3,NA,0,0
288,-3,NA,0,0
289,-3,NA,0,0
290,-3,NA,0,0
291,-3,NA,-3,-3
292,-3,NA,0,0
293,-3,NA,0,0
294,-3,NA,0,0
295,-3,NA,0,0
296,-3,NA,0,0
297,-3,NA,-3,-3
298,-3,NA,1,1
299,-3,NA,0,0
300,-3,NA,-3,-3
301,-3,NA,0,0
302,-3,NA,0,0
303,-3,NA,0,0
304,-3,NA,1,1
305,-3,NA,-3,-3
306,-3,NA,0,0
307,-3,NA,1,1
308,-3,NA,0,0
309,-3,NA,0,0
310,-3,NA,1,1
311,-3,NA,0,0
312,-3,NA,0,0
313,-3,NA,-3,-3
314,-3,NA,-3,-3
315,-3,NA,0,0
316,-3,NA,0,0
317,-3,NA,1,1
318,-3,NA,0,0
319,-3,NA,1,1
320,-3,NA,0,0
321,-3,NA,0,0
322,-3,NA,0,0
323,-3,NA,0,0
324,-3,NA,0,0
325,-3,NA,-3,-3
326,-3,NA,-3,-3
327,-3,NA,0,0
328,-3,NA,0,0
329,-3,NA,0,0
330,-3,NA,-3,-3
331,-3,NA,1,1
332,-3,NA,2,2
333,-3,NA,0,0
334,-3,NA,-3,-3
335,-3,NA,-3,-3
336,-3,NA,0,0
337,-3,NA,0,0
338,-3,NA,0,0
339,-3,NA,0,0
340,-3,NA,0,0
341,-3,NA,0,0
342,-3,NA,-3,-3
343,-3,NA,-3,-3
344,-3,NA,0,0
345,-3,NA,1,1
346,-3,NA,0,0
347,-3,NA,0,0
348,-3,NA,0,0
349,-3,NA,0,0
350,-3,NA,0,0
351,-3,NA,-3,-3
352,-3,NA,0,0
353,-3,NA,0,0
354,-3,NA,0,0
355,-3,NA,0,0
356,-3,NA,0,0
357,-3,NA,0,0
358,-3,NA,1,1
359,-3,NA,0,0
360,-3,NA,0,0
361,-3,NA,0,0
362,-3,NA,0,0
363,-3,NA,0,0
364,-3,NA,-3,-3
365,-3,NA,0,0
366,-3,NA,0,0
367,-3,NA,0,0
368,-3,NA,0,0
369,-3,NA,3,3
370,-3,NA,-3,-3
371,-3,NA,-3,-3
372,-3,NA,0,0
373,-3,NA,0,0
374,-3,NA,0,0
375,-3,NA,0,0
376,-3,NA,-3,-3
377,-3,NA,0,0
378,-3,NA,0,0
379,-3,NA,0,0
380,-3,NA,0,0
381,-3,NA,-3,-3
382,-3,NA,0,0
383,-3,NA,0,0
384,-3,NA,-3,-3
385,-3,NA,0,0
386,-3,NA,0,0
387,-3,NA,0,0
388,-3,NA,1,1
389,-3,NA,0,0
390,-3,NA,0,0
391,-3,NA,0,0
392,-3,NA,-3,-3
393,-3,NA,0,0
394,-3,NA,0,0
395,-3,NA,-3,-3
396,-3,NA,0,0
397,-3,NA,0,0
398,-3,NA,0,0
399,-3,NA,0,0
400,-3,NA,0,0
401,-3,NA,-3,-3
402,-3,NA,0,0
403,-3,NA,0,0
404,-3,NA,0,0
405,-3,NA,0,0
406,-3,NA,0,0
407,-3,NA,0,0
408,-3,NA,0,0
409,-3,NA,0,0
410,-3,NA,0,0
411,-3,NA,0,0
412,-3,NA,0,0
413,-3,NA,0,0
414,-3,NA,-3,-3
415,-3,NA,0,0
416,-3,NA,0,0
417,-3,NA,0,0
418,-3,NA,0,0
419,-3,NA,0,0
420,-3,NA,0,0
421,-3,NA,0,0
422,-3,NA,0,0
423,-3,NA,0,0
424,-3,NA,0,0
425,-3,NA,0,0
426,-3,NA,0,0
427,-3,NA,-3,-3
428,-3,NA,0,0
429,-3,NA,0,0
430,-3,NA,0,0
431,-3,NA,0,0
432,-3,NA,0,0
433,-3,NA,0,0
434,-3,NA,0,0
435,-3,NA,-3,-3
436,-3,NA,-3,-3
437,-3,NA,0,0
438,-3,NA,0,0
439,-3,NA,0,0
440,-3,NA,0,0
441,-3,NA,0,0
442,-3,NA,0,0
443,-3,NA,0,0
444,-3,NA,-3,-3
445,-3,NA,0,0
446,-3,NA,0,0
447,-3,NA,0,0
448,-3,NA,0,0
449,-3,NA,-3,-3
450,-3,NA,0,0
451,-3,NA,0,0
452,-3,NA,0,0
453,-3,NA,0,0
454,-3,NA,-3,-3
455,-3,NA,-3,-3
456,-3,NA,-3,-3
457,-3,NA,0,0
458,-3,NA,-3,-3
459,-3,NA,0,0
460,-3,NA,0,0
461,-3,NA,0,0
462,-3,NA,0,0
463,-3,NA,0,0
464,-3,NA,0,0
465,-3,NA,0,0
466,-3,NA,0,0
467,-3,NA,-3,-3
468,-3,NA,0,0
469,-3,NA,0,0
470,-3,NA,0,0
471,-3,NA,1,1
472,-3,NA,0,0
473,-3,NA,0,0
474,-3,NA,0,0
475,-3,NA,0,0
476,-3,NA,-3,-3
477,-3,NA,0,0
478,-3,NA,-3,-3
479,-3,NA,0,0
480,-3,NA,0,0
481,-3,NA,-3,-3
482,-3,NA,1,1
483,-3,NA,0,0
484,-3,NA,2,2
485,-3,NA,0,0
486,-3,NA,0,0
487,-3,NA,0,0
488,-3,NA,0,0
489,-3,NA,0,0
490,-3,NA,0,0
491,-3,NA,-3,-3
492,-3,NA,1,1
493,-3,NA,-3,-3
494,-3,NA,-3,-3
495,-3,NA,1,1
496,-3,NA,0,0
497,-3,NA,0,0
498,-3,NA,0,0
499,-3,NA,-3,-3
