challengeID,gpa,grit,materialHardship
803,2,2.75,0.181818182
805,2.75,3.25,0
806,3.5,4,0.363636364
807,2.25,4,0.272727273
808,3.5,3.5,0.272727273
809,2,4,0.272727273
811,2,0,0
812,3,4,0.090909091
813,2,3,0.090909091
814,3.75,3.75,0
816,2.75,3,0
819,2,0,0
820,3.75,4,0
822,2,0,0
823,2,0,0
824,1.5,3.5,0
825,3.5,4,0
828,3,4,0
829,2.5,3.25,0.090909091
830,3.25,4,0.090909091
831,2.25,3,0.181818182
833,3.25,2.5,0.545454545
834,3.25,3.75,0
837,2.75,3.25,0.090909091
842,2,0,0
843,2.25,4,0.090909091
846,2,3.5,0.090909091
848,3.5,4,0
849,2,0,0
852,2,0,0
858,2,4,0.090909091
859,3,3,0
860,2,2.75,0.090909091
861,2.25,3.75,0.181818182
862,2,0,0.363636364
863,2.5,2.5,0
865,2.75,4,0.090909091
869,2.25,2.75,0
870,2,0,0
872,1.75,3,0.363636364
874,2.75,3,0
877,3.25,3.75,0
879,2,4,0
882,2,0,0
886,2,3.75,0
887,2.25,2,0.181818182
889,2,0,0
893,3.75,3.75,0
894,3.75,4,0
897,2,3.75,0
899,2,0,0
900,3.5,4,0
901,2.5,3.25,0.545454545
904,2,0,0
905,4,4,0.090909091
907,2,0,0
911,2.25,3.75,0.090909091
912,2.75,4,0
914,3.5,3.25,0.090909091
917,3.25,3,0
918,2,0,0
920,2,0,0
922,2,0,0
925,1.75,3,0
928,3.75,3,0.090909091
931,2,3.5,0.090909091
933,2,0,0
935,2,0,0
936,2.5,3.75,0.181818182
939,3.75,2.75,0
943,3,3.5,0.181818182
947,2.75,4,0
948,2.5,2.75,0.090909091
950,3.5,3.5,0
952,2.5,3.75,0.272727273
953,2,3.75,0.090909091
954,3,3.75,0
955,2,0,0
956,3.75,4,0
958,2,0,0
961,3,4,0
962,2.25,3.75,0.090909091
963,2,2,0
965,4,3,0
966,2,0,0
971,2,0,0
972,2.75,3.25,0.272727273
975,3,4,0.272727273
976,3,3.5,0.090909091
980,2,0,0
981,2.75,4,0.636363636
982,2,0,0
983,3.75,4,0
986,2,0,0
991,3.25,3.75,0.181818182
993,3.25,3.75,0
994,2,3.5,0
995,2,0,0
998,2,0,0
1000,2,3.75,0.181818182
1002,2.75,3,0.181818182
1003,2,0,0
1004,2,3,0
1005,3.75,3.25,0.090909091
1006,3,3.25,0
1007,2,0,0
1008,1.75,3.75,0
1010,3.5,4,0
1011,2,0,0.090909091
1012,1.75,3,0.363636364
1013,2,3.5,0.272727273
1014,2.5,3.75,0.090909091
1017,2,3,0.363636364
1018,3.75,4,0
1019,2,0,0
1024,1.5,3.75,0.090909091
1025,2,0,0
1026,2,0,0
1028,2,3.5,0.090909091
1029,2.5,3.5,0.636363636
1032,2,3,0
1034,2,0,0
1035,2,0,0
1039,3,4,0.181818182
1043,2,0,0
1044,3.75,3,0
1045,4,4,0.454545455
1049,3.75,3.75,0
1050,2,0,0
1052,2,0,0
1055,2,0,0
1059,3,3.25,0
1060,2,0,0
1062,1.75,2.5,0
1064,2,0,0
1065,3.25,3.25,0.181818182
1067,2,0,0
1069,2,3,0
1070,2.5,3.75,0.636363636
1071,2,3,0
1072,2.25,3.75,0.090909091
1077,2,0,0
1079,3.75,4,0
1091,3.25,3.5,0
1092,2.5,3,0
1095,2.5,3,0
1097,4,3.75,0
1098,2,4,0
1103,2,3.5,0
1104,2,0,0
1105,2.75,3.25,0.090909091
1106,3.75,4,0
1107,2,0,0
1113,2,0,0
1118,3.5,3.5,0.090909091
1119,3.25,3.25,0
1122,2.5,3.5,0.181818182
1123,2,0,0
1124,3.5,3,0.272727273
1125,2,0,0
1128,2,0,0
1129,2,0,0
1130,3,4,0.181818182
1133,2,0,0
1134,2,3,0
1135,2.75,4,0
1138,2,0,0
1139,2,0,0
1140,2,0,0
1143,1.5,3,0
1144,3.25,3.25,0
1145,2,0,0
1146,2,3.75,0.090909091
1147,2,0,0
1149,2,0,0
1152,2.75,3.5,0
1153,2,0,0
1157,2.75,2.75,0.363636364
1159,3.5,4,0
1160,2,0,0
1161,2,3.75,0
1164,1.75,3.5,0
1166,3.5,3.75,0
1167,4,2.5,0.090909091
1171,2,0,0
1172,3.5,3.5,0.090909091
1173,2,0,0
1174,2,0,0
1176,2.75,4,0.454545455
1177,2,0,0
1178,1.75,4,0
1179,2.75,3.25,0
1181,2,2.75,0.454545455
1183,3,3.25,0
1184,3,3.25,0
1185,3,3.5,0
1189,2,0,0
1193,2,2.75,0.181818182
1194,3.25,3,0
1196,2,0,0
1198,1.5,3,0.090909091
1200,2,0,0
1204,3,3,0
1205,2,0,0
1206,2,3,0.090909091
1207,2,0,0
1211,2.25,4,0.090909091
1212,2,0,0
1214,2.5,4,0.636363636
1215,2,3.25,0
1219,3.25,3.5,0
1222,2.75,4,0
1223,2,4,0.090909091
1225,3,2.75,0
1226,2,0,0
1228,2,4,0
1229,2,3.75,0
1231,1.75,3.25,0
1232,2,3,0
1234,3.75,4,0
1238,4,3.5,0
1246,2,3.25,0
1248,2.75,3.5,0
1250,2.5,3.25,0
1251,2,0,0
1252,2.75,3,0.454545455
1253,3.25,3.5,0.545454545
1254,2,4,0
1255,3,3.25,0.181818182
1256,4,4,0
1258,3,3.25,0.181818182
1259,3,3.25,0
1266,2,3,0
1275,2,0,0
1276,3.25,2.75,0
1277,2,0,0
1279,2,0,0
1280,3,3,0.181818182
1282,3,3,0
1284,2,3.25,0
1286,3.5,3.5,0
1288,2,0,0
1289,1.75,4,0.090909091
1297,2,4,0.636363636
1298,3.25,3.25,0.272727273
1301,3.25,3.25,0
1303,3.25,4,0
1304,2.25,3.75,0.090909091
1305,2,0,0
1306,2,3.25,0.272727273
1307,2,3.25,0.090909091
1308,2,0,0
1310,2,0,0
1312,3.5,2.5,0.454545455
1315,2,0,0
1316,2,0,0
1318,2,0,0
1319,1.5,2,0.090909091
1321,2,0,0
1322,2,0,0
1323,2.75,3.75,0
1325,2.5,2.25,0.363636364
1326,2,3.75,0
1329,3.5,4,0
1331,3.25,3,0
1335,2,0,0
1336,3.75,3.75,0
1339,2,0,0
1340,3.25,4,0.090909091
1341,2.75,2.75,0.727272727
1349,2.25,3,0.454545455
1350,2.25,4,0
1351,2,0,0
1352,2.75,3.25,0
1353,2,0,0
1356,3.75,3.75,0
1358,2,0,0
1359,2,3,0.545454545
1361,2,3,0.272727273
1362,2,1.75,0
1363,2,0,0
1365,2,0,0
1366,2,0,0
1367,2,4,0
1368,2,0,0
1371,1.75,3,0
1372,4,3.75,0
1373,2,2.75,0
1375,3.25,3.75,0.090909091
1378,2.5,3,0.454545455
1382,2,3.75,0.272727273
1383,2,3.75,0.363636364
1384,2,3.5,0
1386,3,4,0
1387,3.25,3.75,0
1388,3,3.25,0.272727273
1389,1.75,3,0
1391,3.75,4,0.363636364
1394,2,0,0
1395,2,0,0
1398,2,0,0
1402,2.75,3.25,0.636363636
1403,2.75,3.25,0.454545455
1408,1.75,3.25,0
1410,1.75,3,0
1411,2,0,0
1412,2,2.5,0
1414,2,0,0
1417,2,0,0
1418,3.75,4,0.090909091
1420,1.5,3.75,0.272727273
1421,2.5,4,0.090909091
1422,2,0,0
1423,2,0,0
1425,2,0,0
1426,2,0,0
1430,2,0,0
1432,3.75,3.75,0
1434,3.25,4,0
1435,2,0,0
1436,2,3.25,0.272727273
1442,2.5,3.5,0
1444,3.5,3.75,0
1445,2,0,0
1448,2.75,3,0
1452,2.5,3.5,0.272727273
1453,2.5,3,0
1460,3.75,4,0
1462,3.5,3.25,0.090909091
1463,2,2.75,0
1465,4,4,0
1467,3.25,4,0.181818182
1468,2,0,0
1469,2,0,0
1471,3,3,0.272727273
1473,2.25,3.75,0
1474,2.75,3.5,0.090909091
1475,2,0,0
1476,2.5,3.75,0.272727273
1477,4,4,0
1480,2,3.5,0
1483,4,2.5,0.090909091
1484,3,4,0.363636364
1485,3,3,0
1486,2,0,0
1487,1.75,2.75,0.363636364
1490,1.75,3.25,0
1495,2.25,3.5,0.090909091
1496,2,3.25,0
1499,2.75,3.25,0.363636364
1500,2.25,4,0
1505,3,3.75,0
1506,3.75,4,0
1510,3,2.75,0
1511,2,0,0
1514,3.25,3.25,0
1517,2,0,0
1518,2.25,4,0.818181818
1521,3.25,4,0
1523,3.25,4,0
1524,2,0,0
1525,2,0,0
1529,2,0,0
1530,3.25,3.75,0.090909091
1533,2.25,2.75,0
1534,2.5,3.25,0.090909091
1535,2,0,0
1537,2,0,0
1538,3,2.5,0
1539,2,0,0
1542,2,3.5,0
1545,1.75,3.25,0.090909091
1547,3.5,3.25,0
1550,2,3.25,0
1551,2,0,0
1553,2,0,0
1555,1.5,4,0
1557,2.75,4,0
1560,2,0,0
1562,2,3,0.272727273
1563,2.75,2.5,0
1564,2.25,3.25,0
1566,3.75,3.25,0
1569,3.5,3.75,0.090909091
1570,2,0,0
1572,1.5,3.25,0.090909091
1573,3.5,3.75,0
1574,3.5,3.5,0
1576,2,0,0
1578,2,0,0
1580,2,0,0
1583,2,2.25,0
1584,3,4,0
1585,2,0,0
1588,3.5,3.75,0.090909091
1590,3.5,3,0.090909091
1592,3.5,4,0.181818182
1593,3,3.75,0
1594,2,3,0.363636364
1596,2,3.75,0
1598,2,0,0
1599,2,0,0
1602,3.25,4,0
1603,3.5,3,0.363636364
1604,1.5,2.5,0.090909091
1605,2.5,3.5,0
1606,2,0,0
1608,3.5,3.5,0
1611,3,4,0.181818182
1612,3.25,3.5,0.181818182
1613,2,0,0
1614,2,0,0
1615,2,0,0
1616,2,2.75,0
1618,2,0,0
1619,2,3.5,0
1620,4,3.75,0.272727273
1621,3,4,0
1622,2,0,0
1624,2.75,4,0.090909091
1626,2.75,3.25,0.454545455
1628,2.75,2.75,0
1630,2,0,0
1632,3.25,3.5,0.727272727
1633,2,0,0
1634,1.5,3.25,0.090909091
1637,3.75,3.75,0
1638,2,0,0
1639,2.25,3,0
1640,2,0,0
1641,2,3.75,0
1642,2,0,0
1643,3,4,0
1646,3.25,3.75,0
1648,3.5,3.5,0.090909091
1650,2,3.25,0
1652,2,3,0.272727273
1653,2,0,0
1654,3,4,0.272727273
1657,3.25,4,0
1659,2,0,0
1660,2.5,3.25,0.090909091
1663,4,4,0
1664,3.5,4,0
1666,2,0,0
1667,3.25,3,0
1668,2,0,0
1670,3.75,3.5,0.090909091
1675,2,3,0
1677,3.5,3.5,0.090909091
1679,2.5,4,0.090909091
1680,2,4,0
1682,2,4,0.363636364
1686,2,2,0
1688,2,3.25,0
1690,2,0,0
1691,2,0,0
1692,3,4,0
1696,2.5,4,0
1699,2,0,0
1701,2,3.25,0.181818182
1702,3.5,3.75,0
1707,2,0,0
1709,2,0,0
1712,2,0,0
1713,3,3.75,0.454545455
1715,2,3.5,0
1716,2,0,0
1719,2,0,0
1722,2,0,0
1723,2.5,2.75,0
1724,2.25,2.75,0.181818182
1726,3.75,3.5,0.090909091
1729,2,3.5,0
1732,4,2.75,0
1733,1.75,3.75,0.090909091
1734,2,3.25,0
1735,3.5,3,0
1737,2.5,3.25,0
1739,3.5,3.25,0
1740,3,3,0
1741,3,4,0
1744,2,3.75,0
1746,3.5,3.25,0.090909091
1750,2.75,3.75,0
1753,1.5,3.75,0.181818182
1755,3.25,3.75,0
1756,2,4,0.090909091
1757,3.25,3.5,0.090909091
1758,2,0,0
1759,2,0,0
1761,2.5,3.5,0.272727273
1762,2,0,0
1763,1.5,3.25,0.181818182
1765,2,3.25,0.454545455
1771,1.25,3,0.090909091
1772,2.5,4,0.272727273
1774,2,0,0
1776,2,0,0
1783,2,3,0
1784,2,0,0
1786,2,0,0
1788,3,3.25,0.181818182
1790,2.75,4,0.272727273
1791,2,3.75,0
1793,2,3.75,0
1795,2.5,3.25,0
1797,2,0,0
1800,2,2.75,0
1802,2,0,0
1804,3.25,3.5,0
1806,2,4,0
1807,2,3,0.090909091
1808,3.75,3.75,0
1809,2,0,0
1810,3.5,3,0.363636364
1812,3.25,4,0.272727273
1814,2.5,3.75,0.090909091
1815,3,4,0
1816,2,0,0
1817,2.75,3.75,0
1819,2,0,0
1821,2.5,4,0
1822,2,0,0
1824,4,3.5,0
1825,2.25,4,0.181818182
1827,2,3.25,0
1829,2,3.75,0
1831,3.25,4,0
1833,3.25,3,0
1834,2,0,0
1835,2,0,0
1838,3,3.5,0
1839,2,4,0.090909091
1842,2,0,0
1846,2.25,3.5,0.363636364
1848,2,0,0
1852,3.25,3.25,0
1859,2,0,0
1860,2,0,0
1863,3,3.5,0.090909091
1864,2,0,0
1868,2,3,0.181818182
1869,2,0,0
1873,2.25,3.25,0
1874,2.25,3.75,0.181818182
1875,3,4,0.181818182
1876,2,0,0
1878,2.75,4,0.090909091
1879,2,0,0
1880,2,0,0
1881,2.75,3,0.090909091
1883,2.75,3,0.181818182
1884,2,0,0
1886,1.75,3.25,0.272727273
1887,2,0,0
1888,2.75,2.75,0.090909091
1893,3.5,3.25,0
1897,2.25,3,0.090909091
1900,1,3,0
1903,3,3.75,0.454545455
1906,1.75,3.5,0
1907,3.25,3.5,0
1909,3.5,3,0.090909091
1911,3.25,3.25,0.090909091
1912,3.5,3,0.454545455
1916,2,0,0
1918,2,0,0
1920,1.75,3,0
1921,2,0,0
1922,2,0,0
1927,4,3.5,0.090909091
1928,2,1.5,0
1932,2.25,4,0.272727273
1933,2.25,3.25,0.363636364
1936,2,0,0
1937,2,0,0
1938,2,0,0
1941,4,2.75,0.090909091
1942,2.25,4,0
1950,2,0,0
1953,2.75,0,0
1954,2.25,3.75,0.090909091
1955,2,3,0.090909091
1957,2,0,0
1958,3.25,3.25,0.272727273
1960,2,0,0
1965,1.75,4,0.454545455
1968,2,0,0
1969,2,0,0
1970,2.5,3.75,0.090909091
1972,2,0,0
1978,4,3.5,0
1980,2,0,0
1981,3,3,0
1992,2.75,3.5,0
1993,2,0,0
1995,2,3.25,0
2001,2,0,0
2002,2,0,0
2006,3.25,4,0
2007,2,0,0
2008,2,0,0
2012,3.25,3.25,0.363636364
2014,3.5,3.75,0
2015,2,3.25,0.363636364
2020,4,3.75,0
2022,2,0,0
2024,2.25,3.25,0
2025,2,0,0
2027,2.5,4,0.090909091
2028,2,0,0
2030,2.75,4,0
2032,3.25,4,0
2033,2,0,0
2034,2,0,0
2035,2,0,0
2036,3.25,3.5,0.363636364
2038,2.5,3.25,0.181818182
2039,2,3.5,0
2041,3.25,3.75,0.181818182
2045,2,0,0
2052,3.5,4,0
2054,3.25,3.75,0.090909091
2055,2,0,0
2056,3.75,4,0
2058,2.25,3,0
2059,2,0,0
2062,3.5,4,0.454545455
2063,2,0,0
2066,1.75,3,0
2067,2.75,3,0.090909091
2069,1.75,3.75,0
2070,3.25,4,0
2071,3.25,3.5,0.181818182
2073,2,0,0
2075,2,3.5,0
2076,2,0,0
2077,2.25,2.5,0
2079,2.25,3.75,0.272727273
2084,2.25,3.25,0.454545455
2092,3.75,4,0
2094,2,2.75,0.363636364
2095,2.25,2.75,0
2097,2,0,0
2099,3.25,3.25,0
2102,3.5,4,0
2103,2.5,4,0.454545455
2107,2.5,4,0
2109,3.5,4,0
2110,2.75,3.5,0
2111,2,0,0
2114,2,0,0
2115,3.25,3.75,0.090909091
2117,1.75,4,0.272727273
2118,3,3.75,0.090909091
2119,2.75,3.75,0
2120,3.5,3,0
2121,1.75,1.75,0
2124,3.5,4,0
2126,3.75,3.25,0.090909091
2128,2,3.75,0
2129,2,0,0
2130,3.5,3.75,0.090909091
2134,2,2.75,0
2135,2,0,0
2137,2,3.5,0
2140,1.75,3,0
2141,2,0,0
2142,2.5,3.5,0
2143,2,0,0
2144,2,0,0
2146,2,0,0
2147,2,0,0
2149,3,2.75,0
2150,2.75,3.5,0.363636364
2151,3.25,4,0
2157,2,0,0
2160,3,3,0
2162,2,0,0
2165,2,3.75,0
2166,3.75,2.75,0.181818182
2169,2,3.75,0.090909091
2171,2,0,0
2174,2.5,3.25,0.090909091
2175,2.5,2.5,0
2177,3.75,3.25,0
2180,3.75,3.5,0
2181,2,3.25,0
2182,2,3,0
2184,2,0,0
2185,3,3.75,0.363636364
2186,1.75,4,0.090909091
2189,3.5,3.25,0
2190,1.75,3.75,0.090909091
2193,3.25,3.25,0.181818182
2194,2,0,0
2195,2,0,0
2196,2,0,0
2197,1.75,2.75,0.272727273
2200,3.75,3.75,0
2203,3,3.5,0.181818182
2206,2,0,0
2207,1.5,3,0
2208,2,0,0
2209,4,3.75,0.181818182
2213,2.75,3.5,0
2215,1.75,3.75,0.090909091
2216,2,3.75,0.181818182
2217,3,3.5,0.090909091
2221,2,3,0.272727273
2223,2,0,0
2227,3,3.75,0.090909091
2228,2.5,3,0.363636364
2232,2,3,0.090909091
2233,3,3.25,0.363636364
2234,2.75,3.75,0.181818182
2235,2.75,3.75,0.454545455
2236,3.25,3.25,0
2239,2.75,3.5,0
2241,2,0,0
2248,2.75,3.25,0
2249,3.5,3.5,0
2255,2,4,0.272727273
2256,2,2.25,0
2257,2,0,0
2258,2,0,0
2259,2,0,0
2260,2.75,3,0
2261,2,0,0
2263,2,0,0
2264,2,0,0
2265,2.5,3,0.454545455
2266,3.75,3.75,0.454545455
2268,2,0,0
2271,2,0,0
2273,3,3.5,0
2274,4,3.75,0.545454545
2279,2,3,0.090909091
2283,2,0,0
2285,2,0,0
2287,2,0,0
2289,2,3.75,0
2290,2,0,0
2292,2,0,0
2294,4,4,0
2295,2,0,0
2296,2,0,0
2297,2,0,0
2298,2.5,3.5,0.181818182
2301,2,0,0
2302,2.25,3.25,0.454545455
2305,4,3.5,0
2307,2,0,0
2309,2,0,0
2310,4,4,0
2311,2,0,0
2313,2,0,0
2317,2.25,3,0.363636364
2321,2.75,3.5,0
2322,2.25,3.25,0.181818182
2324,2,3,0
2325,3.25,3.5,0
2326,4,3.75,0
2328,2,0,0
2329,2,0,0
2332,2,0,0
2333,1,3.25,0.090909091
2335,2,0,0
2336,2.75,4,0.181818182
2338,2,1.25,0.181818182
2339,2,2.5,0
2342,2,0,0
2344,2,0,0
2345,2,0,0
2346,2.25,3.25,0.272727273
2348,2,3,0
2350,2.5,2.5,0.363636364
2351,2.25,3.75,0
2353,2,0,0
2354,2,0,0
2355,2,0,0
2356,2,0,0
2357,3,3,0
2358,1.75,2.75,0.272727273
2361,3,3.75,0
2362,2.75,2.5,0.363636364
2363,2,0,0
2366,3,3.75,0.272727273
2367,2,0,0
2369,2.5,4,0
2370,3,3.25,0
2372,2.25,3.25,0.363636364
2373,2,3,0.090909091
2374,3.5,4,0
2375,2,0,0
2376,3.5,4,0
2379,2,0,0
2380,2,3.5,0.181818182
2382,2,0,0
2383,2,2.5,0
2384,2,0,0
2385,2.75,3.25,0
2386,2,4,0.636363636
2387,2,0,0
2389,2.25,3.75,0.545454545
2395,2,0,0
2397,2,2.75,0.363636364
